,제목,가사,장르
10,진또배기,"어 허야듸야 허야듸야
어 허야듸야 허야듸야
허야듸야
어촌마을 어귀에 서서
마을에 평안함을 기원하는
진또배기 진또배기 진또배기
오리 세마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기 진또배기
어허 허야듸야
풍어와 풍년을 빌면서
일년내내 기원하는
진또배기 진또배기
진또배기 진또배기
어 허야듸야 허야듸야
허야듸야 허야듸야
배띄워라 노를 저어라
파도가 춤을 춘다 노래한다
진또배기 진또배기
진또배기 진또배기
어허 허야듸야
허야듸야 허야듸야 얼 쑤",트로트
11,바램,"내 손에 잡은 것이 많아서
손이 아픕니다
등에 짊어진 삶의 무게가
온 몸을 아프게 하고
매일 해결해야 하는 일 때문에
내 시간도 없이 살다가
평생 바쁘게 걸어 왔으니
다리도 아픕니다
내가 힘들고 외로워 질 때
내 얘길 조금만 들어 준다면
어느 날 갑자기 세월의 한복판에
덩그러니 혼자 있진 않겠죠
큰 것도 아니고 아주 작은 한 마디
지친 나를 안아 주면서
사 랑 한 다
정말 사랑 한다는
그 말을 해 준다면
나는 사막을 걷는다 해도
꽃길이라 생각 할 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
우린 늙어가는 것이 아니라
조금씩 익어가는 겁니다
저 높은 곳에 함께 가야 할 사람
그대 뿐입니다",트로트
12,뱃놀이,"어기야 디여차
따뜻하게 입어라 신경 쓰이니까
오다 주웠다 받아 별거 아니니까
툭하고 던진 맘에 올라가는 입가
거친 내 매력에 너 납치된 거야
어머 어머 뭐니
어쩜 이렇게 좋니
흔들흔들 어질하도록
너를 격하게 아껴줄 테니 내게 맡겨
우리는 운명인 거야
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
영차 영차 노를 젓자 젓자
가자 가자 저 바다로 가자
저 달님이 부르는
우리의 노랫말은
물결 위에 뿌려져
물비늘 되는구나
어머 어머 뭐니
어쩜 이렇게 좋니
흔들흔들 어질하도록
너를 격하게 아껴줄 테니 내게 맡겨
우리는 운명인 거야
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
노을 진 하늘을 지나
휘영청 밝은 그 달이
걸린 밤하늘을 바라보다
해가 뜨는 새벽에도 우린 함께
그대여 나의 님이 되어 주오
그대의 님이 나 되게 해 주오
거친 바람이 불어도
지켜 줄 수 있게
나만의 님이 돼주오
떠가는 저 배 위에
함께 노닐 나의 님이 돼주오
저 푸른 바다 위에
어기야 디여차
사랑하는 나의 님과
어기야 디여 어기여차
뱃놀이 가잔다
어야 디여 (어야 디여)
어야 디여 (어야 디여)
닻을 올려 노를 저어서 가자
어야 디여 (어야 디여)
어야 디여 (어야 디여)
뱃놀이 가잔다",트로트
13,서울의 달,"서울 살이 타향살이 고달픈 날에
울 엄마가 생각이 난다
조물조물 무쳐주신 나물반찬에
된장찌개 먹고 싶구나
겁도 없이 떠나온 머나먼 길에
보고 싶은 내 고향 눈에 밟힌다
언젠가 서울에 가서 성공을 해서
돌아온다 약속했는데
세상에 울고 웃다가 바쁘다 보니
꿈에서나 갈 수 있구나
서울의 달 바라보면서
우 우우우 우우우우우 우우 우우우
우 우우우 우우우우우
우우 우 우우우
서울 살이 타향살이 외로운 날에
울 엄마가 보고 싶구나
차 창가에 부딪치는 달빛을 보며
엄마소원 빌어도 본다
겁도 없이 떠나온 머나먼 길에
남쪽바다 내 고향 눈에 밟힌다
언젠가 서울에 가서 성공을 해서
돌아온다 약속했는데
세상에 울고 웃다가 바쁘다 보니
꿈에서나 갈 수 있구나
언젠가 서울에 가서 성공을 해서
돌아온다 약속했는데
손 편지 한 장 갖고는 너무 모자란
내인생의 일기를 쓴다
서울의 달 바라보면서
우 우우우 우우우우우 우우 우우우
바라보면서",트로트
14,목포행 완행열차,"목포행 완행열차
마지막 기차 떠나가고
늦은 밤 홀로 외로이
한잔 술에 몸을 기댄다
우리의 사랑은 이제
여기까지가 끝인가요
우리의 짧은 인연도
여기까지가 끝인가요
잘가요 인사는 못해요
아직 미련이 남아서
언젠가 우리 다시 만나는 그날
그냥 편히 웃을 수 있게
우리의 사랑은 이제
여기까지가 끝인가요
우리의 짧은 인연도
여기까지가 끝인가요
잘가요 인사는 못해요
아직 미련이 남아서
언젠가 우리 다시 만나는 그날
그냥 편히 웃을 수 있게
그냥 편히 안을 수 있게",트로트
15,시절인연 (時節因緣),"사람이 떠나간다고
그대여 울지 마세요
오고 감 때가 있으니
미련일랑 두지 마세요
좋았던 날 생각을 하고
고마운 맘 간직을 하며
아아아 살아가야지
바람처럼 물처럼
가는 인연 잡지를 말고
오는 인연 막지 마세요
때가 되면 찾아올 거야
새로운 시절인연
친구가 멀어진다고
그대여 울지 마세요
영원한 것은 없으니
이별에도 웃어주세요
좋았던 날 생각을 하고
고마운 맘 간직을 하며
아아아 살아가야지
바람처럼 물처럼
가는 인연 잡지를 말고
오는 인연 막지 마세요
때가 되면 찾아올 거야
새로운 시절인연
새로운 시절인연
사람이 떠나간다고
그대여 울지 마세요",트로트
16,HERO,"세상이란 장애물이 너의
앞길을 가로막을 때 날 봐
언제나 너의 곁엔 내가 있어
불안 따윈 1도 없을 테니
이렇게 always always
내가 너를 지켜줄게
나를 믿고 가 오
거친 세상이지만
나를 믿고 가 오
나와 함께라면 ready to go
창밖으로 비쳐오는 태양
시시각각 바뀌는 구름의 모양
공기를 가르며 와닿는
바람의 향기가 느껴지니
이렇게 always always
내가 너를 지켜줄 테니
나를 믿고 가 오
거친 세상이지만
나를 믿고 가 오
나와 함께라면 ready to go
Let's go go right away right away
When we go go go far away far away
참 다행이지 나의 옆이 너라서
내 어깨에 기대어
손을 꼭 잡고 같이
어디로든 가자
나를 믿고 가 오
거친 세상이지만
나를 믿고 가 오
나와 함께라면 ready to go
Let's go go right away right away
When we go go go far away far away",트로트
17,사랑아,"안돼요 안돼 날 두고 떠나면 안돼
그렇게 못해 난 절대 보낼 순 없어
갈테면 가라 모든 걸 잊고 떠나봐
그땐 뒤돌아서 후회를 할꺼야

희미한 기억속에 너의 이름 불러도
다신 볼 수 없던 사랑한 사람
사랑아 나를 두고 떠나 가지마
나만 두고 가려거든 다신 나를 찾지마

언젠가 그대 나를 찾는다 해도
그땐 내가 먼저 뒤돌아서 그댈 볼 수 없으니

안돼요 안돼 날 두고 떠나면 안돼
그렇게 못해 난 절대 보낼 순 없어
갈테면 가라 모든 걸 잊고 떠나봐
그땐 뒤돌아서 후회를 할꺼야

희미한 기억속에 너의 이름 불러도
다신 볼 수 없던 사랑한 사람
사랑아 나를 두고 떠나 가지마
나만 두고 가려거든 다신 나를 찾지마

언젠가 그대 나를 찾는다 해도
그땐 내가 먼저 뒤돌아서 그댈 볼 수 없으니 -",트로트
18,막걸리 한잔,"막걸리 한 잔
온 동네 소문 났던 천덕꾸러기
막내아들 장가가던 날
앓던 이가 빠졌다며 덩실 더덩실
춤을 추던 우리 아버지
아버지 우리 아들 많이 컸지요
인물은 그래도 내가 낫지요
고사리 손으로
따라주는 막걸리 한잔
아버지 생각나네
황소처럼 일만 하셔도
살림살이는 마냥 그 자리
우리 엄마 고생시키는
아버지 원망했어요
아빠처럼 살긴 싫다며
가슴에 대못을 박던
못난 아들을 달래주시며
따라주던 막걸리 한잔
따라주던 막걸리 한잔
황소처럼 일만 하셔도
살림살이는 마냥 그 자리
우리 엄마 고생시키는
아버지 원망했어요
아빠처럼 살긴 싫다며
가슴에 대못을 박던
못난 아들을 달래주시며
따라주던 막걸리 한잔
따라주던 막걸리 막걸리 한잔",트로트
19,오늘 밤에,"오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
뚜뚜 뚜루 뚜뚜 뚜두르
이 밤이 무서워 난 네가 없으면
내 곁에 좀 더 머물러요
리듬 속 너와 내가 춤을 출 때면
그 순간이 행복할거야
Baby 너랑 나랑
우리 둘이 영원하도록
사랑의 맹세를 난 약속할거야
오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
둘이서 하는 불장난
후우 후우 후우
뚜뚜 뚜루 뚜뚜 뚜두르
사랑이 뭐냐고 물어보신다면
나의 대답은 말해 뭐해
불타는 마음으로 지켜줄거야
당신만이 곁에 있다면
Baby 너랑 나랑
우리 둘이 영원하도록
사랑의 맹세를 난 약속할거야
오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
뚜뚜 뚜루 뚜뚜 뚜두르
꿈이라면 깨지 않게 해줘
떠나가지마 가지마 가지마 가지마
오늘 밤에 아무도 모르게
둘이서 하는 불장난
후우 후우 후우
뚜뚜 뚜루 뚜뚜 뚜두르",트로트
20,잊었니,"잊었니 날 잊어버렸니
그 수많은 추억들은 잊어버렸니
가슴은 널 향해 팔 벌려
오늘도 간신히 버티고 있는데
추억이 점점 빛 바래가면
너와 거닐던 길에 우두커니 서
지우고 또 지우려 해도
네 숨결 목소리가 귓가에 들려
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
잊었니 날 잊어버렸니
아직 난 널 기다리잖아
사랑이 또 울고 있잖아
가슴엔 늘 눈물이 고여
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
지워도 자꾸 지우려 해도
그대 얼굴이 자꾸 떠오르네요
그대 얼굴이 자꾸 떠오르네요",트로트
21,돼지토끼,"넌 돼끼돼끼해 또 말랑말랑해
니 냄새까지 너무나 사랑스러워
눈이 안보이게 웃으면
심장이 아프잖아
넌 토끼시끼해 또 뽀실뽀실해
니 뱃살까지 너무나 사랑스러워
젤리 같은 너 마냥 소중해
영원히 안아줄게
비 맞지마 두피 멍들라
내가 구름도 가려줄게
제발 밤에는 집에만 있어
번쩍번쩍 빛이 나니까
바람 불면 나가지도 마
날아갈리 없겠지만은
혹시나 고운 피부
바람에 아파할까 봐
넌 돼끼돼끼해 또 말랑말랑해
니 냄새까지 너무나 사랑스러워
눈이 안보이게 웃으면
심장이 아프잖아
넌 토끼시끼해 또 뽀실뽀실해
니 뱃살까지 너무나 사랑스러워
젤리 같은 너 마냥 소중해
영원히 안아줄게
늙어지면 지리산 가자
때론 많이 외롭겠지만
흑염소 키우면서
우리 둘이서 살까 봐
넌 돼끼돼끼해 또 말랑말랑해
니 냄새까지 너무나 사랑스러워
눈이 안보이게 웃으면
심장이 아프잖아
넌 토끼시끼해 또 뽀실뽀실해
니 뱃살까지 너무나 사랑스러워
젤리 같은 너 마냥 소중해
영원히 안아줄게
넌 그대로면 돼 또 있어주면 돼
내 목숨까지 다해서 사랑해 줄게
너를 만난 건 신의 한수야
하늘에 감사할게",트로트
22,전복 먹으러 갈래,"전복 먹으러 갈래
서해안 고속도로 타고
완도 앞 바다로
나랑 같이 가볼래
슬쩍 기대도 돼
내 팔을 어깨 위에 두르고
저 구름 따라
지금 떠나볼래
어느새 바닷바람 시원하게 불어 오잖아
좋아
걱정은 마 오늘은 내가 책임진다
진짜야
너에게 좋은 것만 주고픈 마음 알까
전복 먹으러 갈래
할 일은 내일로 다 미루고
이 기분 따라
훌쩍 떠나볼래
가자
조개구이 먹으러 갈래
가까운 오이도도 좋아
까먹기 번거로우면
뭐 찜도 괜찮아
아님 뭐든 어때
랍스타 장어 새우 대게
둘이서 간다면
난 어디든 좋아
어느새 바닷바람 시원하게 불어 오잖아
좋아
걱정은 마 오늘은 내가 책임진다
진짜야
너에게 좋은 것만 주고픈 마음 알까
진짜로 좋은 것만 주고픈 마음 알까
소주도 한잔 할래
안주가 끝내주잖아
이거 마시면 우리
사귀는 거다",트로트
23,한잔해,"한잔해 한잔해 한잔해
갈때까지 달려보자 한잔해
오늘밤 너와 내가 하나되어
달려 달려 달려 달려
한잔해 한잔해 한잔해
갈때까지 달려보자 한잔해
내가 쏜다 한잔해
월요일은 원래 먹는 날
화요일은 화가 나니까
숙취에 한잔
목이 말라 한잔
금요일은 불금 이니까
밤새도록 한잔 어때요
한잔해 한잔해 한잔해
갈때까지 달려보자 한잔해
오늘밤 너와 내가 하나되어
달려 달려 달려 달려
한잔해 두잔해 세잔해
갈때까지 달려보자 한잔해
내가 쏜다 한잔해
삼겹살에 한잔 때리자
치킨에다 한잔 때리자
두부김치 해물파전
시원한 한잔 주세요
밤새도록 한잔 어때요
한잔해 한잔해 한잔해
갈때까지 달려보자 한잔해
오늘밤 너와 내가 하나되어
달려 달려 달려 달려
한잔해 두잔해 세잔해
갈때까지 달려보자 한잔해
내가 쏜다 한잔해
한잔해 한잔해 한잔해
갈때까지 달려보자 한잔해
오늘밤 너와 내가 하나되어
달려 달려 달려 달려
한잔해 두잔해 세잔해
갈때까지 달려보자 한잔해
내가 쏜다 한잔해",트로트
24,아모르 파티,"산다는게 다 그런거지
누구나 빈손으로와
소설같은 한 편의 얘기들을
세상에 뿌리며 살지
자신에게 실망 하지마
모든걸 잘할 순 없어
오늘보다 더 나은 내일이면 돼
인생은 지금이야 아모르파티
인생이란 붓을 들고서
무엇을 그려야 할지
고민하고 방황하던
시간이 없다면 거짓말이지
말해뭐해 쏜 화살처럼
사랑도 지나 갔지만
그 추억들 눈이 부시면서도
슬펐던 행복이여
나이는 숫자 마음이
진짜 가슴이 뛰는 대로 가면돼
이제는 더이상 슬픔이여 안녕
왔다갈 한번의 인생아
연애는 필수 결혼은 선택
가슴이 뛰는대로 가면 돼
눈물은 이별의 거품일 뿐이야
다가올 사랑은 두렵지 않아
아모르 파티 아모르파티
말해뭐해 쏜 화살처럼
사랑도 지나 갔지만
그 추억들 눈이 부시면서도
슬펐던 행복이여
나이는 숫자 마음이
진짜 가슴이 뛰는 대로 가면돼
이제는 더이상 슬픔이여 안녕
왔다갈 한번의 인생아
연애는 필수 결혼은 선택
가슴이 뛰는대로 가면 돼
눈물은 이별의 거품일 뿐이야
다가올 사랑은 두렵지 않아
아모르 파티 아모르파티
아모르 파티",트로트
25,누나가 딱이야,"남자답게 책임질게
내겐 딱 딱 누나가 딱이야
풋내 나는 풋사과보다
새빨간 사과가 더 좋아
지독한 사랑에 아파본
누나라서 난 좋아
어디까지 헤메이다가
얼마만큼 울다 왔는지
과건 묻지 않을 테니까
내 품에 편히 쉬어
누나가 딱이야
내 품에 딱이야
오늘부터 우린 자기야
남자답게 책임질게
나만 믿고 따라와
누나가 딱이야
내 눈에 딱이야
오늘부터 우린 짝이야
못이긴 척 안겨줄래
내겐 딱 딱 누나가 딱이야
남자답게 책임질게
내겐 딱 딱 누나가 딱이야
까분다고 코웃음치곤
은근슬쩍 기대는 여우
내 눈에는 너무 귀여워
깨물어주고 싶은 걸
별을 따달라면 따줄게
달을 따오라면 따올게
어리다고 얕보지마라
놓치면 후회할 걸
누나가 딱이야
내 품에 딱이야
오늘부터 우린 자기야
남자답게 책임질게
나만 믿고 따라와
누나가 딱이야
내 눈에 딱이야
오늘부터 우린 짝이야
못이긴 척 안겨줄래
내겐 딱 딱 누나가 딱이야
누나가 딱이야
내 품에 딱이야
오늘부터 우린 자기야
남자답게 책임질게
나만 믿고 따라와
누나가 딱이야
내 눈에 딱이야
오늘부터 우린 짝이야
못이긴 척 안겨줄래
내겐 딱 딱
넌 내가 딱이야",트로트
26,여백,"얼굴이 잘생긴 사람은
늙어 가는 게 슬프겠지
아무리 화려한 옷을 입어도
저녁이면 벗게 되니까
내 손에 주름이 있는 건
길고 긴 내 인생에 훈장이고
마음에 주름이 있는 건
버리지 못한 욕심에 흔적
청춘은 붉은 색도 아니고
사랑은 핑크빛도 아니더라
마음에 따라서 변하는
욕심 속 물감의 장난이지
그게 인생인거야
전화기 충전은 잘 하면서
내 삶은 충전하지 못하고 사네
마음에 여백이 없어서
인생을 쫓기듯 그렸네
청춘은 붉은 색도 아니고
사랑은 핑크빛도 아니더라
마음에 따라서 변하는
욕심 속 물감의 장난이지
그게 인생인거야
전화기 충전은 잘 하면서
내 삶은 충전하지 못하고 사네
마음에 여백이 없어서
인생을 쫓기듯 그렸네
마지막 남은 나의 인생은
아름답게 피우리라",트로트
27,한량가 (Hallyang-ga),"지덩기당징 울려라
거문고 소리
이 한밤을 멋으로 채워라

달빛이 좋구나
예서 놀아보자
오늘은 네가 내 각시로구나

더덩지덩~

거문고 가락에 취하고
어스름 달빛에 취한다
대장부 인생 무엇이 더 필요하랴

그 누가 세월을 붙잡아
천년을 살까
어찌 이 밤 놀지 않으랴
한량아~

지덩기당징 울려라
거문고 소리
이 한밤을 흥으로 채워라

꽃잎이 곱구나
예서 취해보자
세월의 곤함을 풀어나 보자

더덩지덩~

부귀와 영화가 덧없고
흐르는 강물이 덧없다
대장부 인생 무엇이 더 아쉬우랴

그 누가 세월을 붙잡아
천년을 살까
어찌 이 밤 놀지 않으랴

거문고 가락에 취하고
어스름 달빛에 취한다
대장부 인생 무엇이 더 필요하랴
그 누가 세월을 붙잡아
천년을 살까
어찌 이 밤 놀지 않으랴
한량아~",트로트
28,참 좋은 날,"유난히 힘이 들던 날 꽃이 되어
별이 되어 내게로 다가온 당신
소리 내어 울고 싶던 날 운명처럼
연인처럼 내게 온 선물
그대 없인 나도 없었고
그대 있어 나도 있네요
꿈을 꾸듯 그대와 걸어갈게요
하늘까지 저 구름까지
참 좋은 날 그 어느 날 우리 만난 날
또 시련이 우릴 막을지라도
우리 밝게 빛날 그 날에 두 손 꼭 잡고
함께 걸어갈게요
우리 그렇게 약속해
그대 없인 숨 쉴 수 없고
그대 있어 내가 사네요
평생토록 그대만 지켜줄게요
해가 되어 저 달이 되어
참 좋은 날 그 어느 날 우리 만난 날
또 시련이 우릴 막을지라도
우리 밝게 빛날 그 날에
두 손 꼭 잡고 함께 걸어갈게요
우리 그렇게 약속해
수많은 계절들이 피고 또 저물어가도
그대만 영원히 내 사랑인 걸요
참 좋은 날 그 멋진 날 눈부신 그날에
가슴 아린 슬픔은 모두 잊어버려요
우리 함께 웃을 수 있게
그대 손 절대 놓치지 않을게요
내가 그댈 지킬게요 참 좋은 날입니다",트로트
